Categories,Total,All Years
Mechanical engineering/Transport,77,"[1, 1, 1, 1, 0, 10, 7, 8, 6, 10, 1, 5, 6, 14, 6, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",15,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 10, 0, 0, 0, 2, 0, 0]"
Instruments/Measurement,12,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 2, 2, 0]"
Instruments/Control,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
Mechanical engineering/Mechanical elements,4,"[0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
"Other fields/Furniture, games",4,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
Electrical engineering/IT methods for management,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
