Categories,Total,All Years
Mechanical engineering/Transport,29,"[1, 3, 1, 1, 2, 1, 5, 1, 2, 1, 2, 1, 8, 0]"
Mechanical engineering/Mechanical elements,4,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Mechanical engineering/Engines, pumps, turbines",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
