Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,8,"[2, 2, 1, 1, 0, 0, 2, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,4,"[0, 0, 0, 0, 1, 1, 1, 1]"
Ingeniería eléctrica/Telecomunicaciones,4,"[0, 0, 0, 0, 0, 3, 1, 0]"
Instrumentos/Tecnología médica,4,"[0, 0, 0, 1, 0, 1, 2, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",2,"[0, 0, 0, 0, 0, 0, 2, 0]"
