Categorías,Total,Todos los años
Métodos de ingeniería eléctrica/TI para la gestión,20,"[0, 0, 0, 1, 1, 2, 1, 2, 4, 0, 1, 5, 2, 0, 1]"
Ingeniería eléctrica/Tecnología informática,17,"[0, 0, 1, 0, 0, 1, 2, 2, 1, 2, 1, 3, 1, 2, 1]"
Instrumentos/Tecnología médica,11,"[0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 1, 3, 0, 2, 0]"
Ingeniería eléctrica/Comunicación digital,9,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 2, 0, 1]"
Instrumentos/Control,9,"[2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0]"
Ingeniería mecánica/Otras máquinas especiales,4,"[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,2,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Otros campos/Mobiliario, juegos",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
