Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,29,"[1, 3, 1, 1, 2, 1, 5, 1, 2, 1, 2, 1, 8, 0]"
Ingeniería mecánica/Elementos mecánicos,4,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
