Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,5,"[0, 0, 1, 0, 1, 1, 1, 1]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",2,"[1, 1, 0, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 1, 0, 0, 0, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,1,"[0, 0, 0, 1, 0, 0, 0, 0]"
