Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,77,"[1, 1, 1, 1, 0, 10, 7, 8, 6, 10, 1, 5, 6, 14, 6, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",15,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 10, 0, 0, 0, 2, 0, 0]"
Instrumentos/Medición,12,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 2, 2, 0]"
Instrumentos/Control,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
Ingeniería mecánica/Elementos mecánicos,4,"[0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
"Otros campos/Mobiliario, juegos",4,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
