Categories,Total,All Years
Chemistry/Biotechnology,6,"[1, 5, 0, 0, 0, 0]"
Chemistry/Micro-structural and nano-technology,6,"[0, 0, 2, 4, 0, 0]"
Electrical engineering/Semiconductors,4,"[0, 0, 2, 2, 0, 0]"
Instruments/Medical technology,3,"[0, 0, 0, 0, 1, 2]"
Chemistry/Organic fine chemistry,1,"[0, 1, 0, 0, 0, 0]"
Instruments/Measurement,1,"[0, 1, 0, 0, 0, 0]"
