Categorías,Total,Todos los años
Química/Química de los alimentos,18,"[2, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 6, 4, 1, 0, 0]"
"Otros campos/Mobiliario, juegos",17,"[0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 6, 0, 0, 0, 0, 1]"
Química/Química de materiales básicos ,7,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,3,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Tecnología informática,2,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Control,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Manipulación,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Otras máquinas especiales,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
