Categorías,Total,Todos los años
Química/Ingeniería química,1,"[1, 0]"
Ingeniería eléctrica/Tecnología informática,1,"[0, 1]"
Métodos de ingeniería eléctrica/TI para la gestión,1,"[0, 1]"
