Categorías,Total,Todos los años
Métodos de ingeniería eléctrica/TI para la gestión,2,"[1, 0, 1]"
Instrumentos/Control,2,"[1, 0, 1]"
Ingeniería eléctrica/Comunicación digital,1,"[0, 1, 0]"
