,Categories,year,Title,link
28,Mechanical engineering/Other special machines,2022,VERTICAL FARMING SYSTEM AND METHOD FOR MONITORING AND CONTROLLING PLANT GROWTH,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023397557A1
29,Mechanical engineering/Other special machines,2023,VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023237622A1
30,Mechanical engineering/Other special machines,2022,Vertical farming system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2619527A
31,Mechanical engineering/Other special machines,2020,Vertical farm irrigation system with dual return pumps,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11832566B2
32,Other fields/Civil engineering,2022,Method and device for optimization of plants root-zone temperature,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=IL292980A
33,Mechanical engineering/Other special machines,2022,Controller-operated vertical farming system using transportable modules,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11825787B2
34,Mechanical engineering/Other special machines,2023,"VERTICAL FARMING APPARATUS, SYSTEMS, AND METHODS",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023371442A1
35,Mechanical engineering/Other special machines,2023,"HORTICULTURE AUTOMATION SYSTEMS, DEVICES, AND METHODS",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023371447A1
36,Electrical engineering/IT methods for management,2023,"HORTICULTURE AUTOMATION SYSTEMS, DEVICES, AND METHODS",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023225688A1
37,Mechanical engineering/Other special machines,2023,"HORTICULTURE AUTOMATION SYSTEMS, DEVICES, AND METHODS",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023225688A1
38,Mechanical engineering/Other special machines,2023,METHOD AND DEVICE FOR OPTIMIZATION OF PLANT ROOT-ZONE TEMPERATURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023218454A1
39,Mechanical engineering/Thermal processes and apparatus,2023,METHOD AND DEVICE FOR OPTIMIZATION OF PLANT ROOT-ZONE TEMPERATURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023218454A1
40,Mechanical engineering/Other special machines,2021,VERTICAL FARMING SYSTEMS AND METHODS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4271171A1
41,Mechanical engineering/Other special machines,2021,VERTICAL FARMING SYSTEMS AND METHODS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2023543772A
42,Mechanical engineering/Other special machines,2020,HIGH DENSITY PLANT GROWTH SYSTEMS AND METHODS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4037472A4
43,Mechanical engineering/Other special machines,2019,GROWING SPACE FOR VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3772897B1
44,Mechanical engineering/Other special machines,2020,PRODUCTION FACILITY LAYOUTS FOR AUTOMATED CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114423278B
45,Mechanical engineering/Other special machines,2018,Automated vertical farming system using mobile robots,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11778956B2
46,Mechanical engineering/Other special machines,2020,A SYSTEM FOR IN-SOIL VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4007486A4
47,Mechanical engineering/Handling,2022,Storage system for vertical farming and a method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=TW202337312A
48,Mechanical engineering/Other special machines,2022,Storage system for vertical farming and a method thereof,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=TW202337312A
49,Mechanical engineering/Other special machines,2020,Production facility layouts for automated controlled environment agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2020350507B2
50,Chemistry/Environmental technology,2021,Atmospheric Water And Carbon Dioxide Harvesting For Farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023302394A1
51,Mechanical engineering/Other special machines,2021,Atmospheric Water And Carbon Dioxide Harvesting For Farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023302394A1
52,Mechanical engineering/Other special machines,2021,VERTICAL FARMING SYSTEM AND METHOD USING THE SAME,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023301254A1
53,Mechanical engineering/Other special machines,2023,SYSTEM FOR HANDLING A WORKING HEAD IN A VERTICAL FARMING FACILITY,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023175134A1
54,Mechanical engineering/Other special machines,2023,ACTUATOR FOR HANDLING PLANTS AND/OR PLANT RECEPTACLES IN A VERTICAL FARMING FACILITY,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023175133A1
55,Mechanical engineering/Handling,2023,"GRIPPER, SYSTEM AND METHOD FOR HANDLING PLANTS OR PLANT RECEPTACLES",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023175135A1
56,Mechanical engineering/Other special machines,2023,"GRIPPER, SYSTEM AND METHOD FOR HANDLING PLANTS OR PLANT RECEPTACLES",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023175135A1
57,Mechanical engineering/Other special machines,2022,SPECIALIZED SHELVES WITH VERTICAL LAYERS FOR VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023156812A1
58,Mechanical engineering/Other special machines,2023,"APPARATUS, SYSTEM AND METHODS FOR IMPROVED VERTICAL FARMING",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023255153A1
59,Mechanical engineering/Other special machines,2022,COMBINED NET HOUSE AND VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023152540A1
60,Mechanical engineering/Other special machines,2021,AUTOMATIC VERTICAL FARMING SYSTEM AND METHOD FOR GROWING PLANTS IN A SOILLESS GROWING ENVIRONMENT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023232760A1
61,Mechanical engineering/Other special machines,2022,Controller-operated vertical farming system using transportable modules,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=TW202327445A
62,Chemistry/Chemical engineering,2021,ATMOSPHERIC WATER AND CARBON DIOXIDE HARVESTING FOR FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4204117A1
63,Chemistry/Environmental technology,2021,ATMOSPHERIC WATER AND CARBON DIOXIDE HARVESTING FOR FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4204117A1
64,Mechanical engineering/Thermal processes and apparatus,2021,ATMOSPHERIC WATER AND CARBON DIOXIDE HARVESTING FOR FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4204117A1
65,Other fields/Civil engineering,2021,ATMOSPHERIC WATER AND CARBON DIOXIDE HARVESTING FOR FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4204117A1
66,Other fields/Other consumer goods,2021,ATMOSPHERIC WATER AND CARBON DIOXIDE HARVESTING FOR FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4204117A1
67,Mechanical engineering/Other special machines,2021,Vertical grow tower conveyance system for controlled environment agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11690326B2
68,Mechanical engineering/Other special machines,2022,STORAGE SYSTEM FOR VERTICAL FARMING AND A METHOD THEREOF,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3238031A1
69,Mechanical engineering/Other special machines,2019,VERTICAL GROW TOWER CONVEYANCE SYSTEM FOR CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP7299232B2
70,"Electrical engineering/Electrical machinery, apparatus, energy",2021,Vertical farming layer structure and method for vertical farming using the same,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11684019B2
71,Instruments/Measurement,2021,Vertical farming layer structure and method for vertical farming using the same,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11684019B2
72,Mechanical engineering/Other special machines,2021,Vertical farming layer structure and method for vertical farming using the same,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11684019B2
73,Mechanical engineering/Other special machines,2019,MULTI CAVITIY VERTICAL GROW TOWER CONVEYANCE SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4197317A1
74,Mechanical engineering/Other special machines,2022,VERTICAL FARMING SYSTEM AND METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023075699A3
75,Mechanical engineering/Other special machines,2019,VERTICAL GROW TOWER CONVEYANCE SYSTEM FOR CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3768071B1
76,Mechanical engineering/Other special machines,2019,VERTICAL GROW TOWER CONVEYANCE SYSTEM FOR CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3768071C0
77,Mechanical engineering/Other special machines,2023,VERTICAL GROW TOWER CONVEYANCE SYSTEM FOR CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2023068144A
