Categorías,Total,Todos los años
Instrumentos/Medición,5,[5]
Ingeniería mecánica/Otras máquinas especiales,5,[5]
Química/Ingeniería química,1,[1]
Instrumentos/Análisis de materiales biológicos,1,[1]
