Categorías,Total,Todos los años
Química/Biotecnología,2,"[0, 1, 1]"
Química/Tecnología ambiental,2,"[2, 0, 0]"
"Química/Materiales, metalurgia",2,"[1, 0, 1]"
"Química/Química macromolecular, polímeros",1,"[0, 0, 1]"
Ingeniería eléctrica/Tecnología audiovisual,1,"[0, 0, 1]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",1,"[0, 1, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",1,"[0, 1, 0]"
