Dominant_Topic_Label,Total,All Years
Building/Energy/Emission/Environmental/Environment/Sustainable/Forest,21,"[0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 0, 2, 3, 4, 0, 3]"
Building/Energy/Green/Emission/Polysaccharide/Type/Low,31,"[0, 0, 0, 0, 1, 1, 1, 0, 2, 3, 1, 0, 0, 0, 0, 1, 0, 0, 3, 6, 9, 3]"
Emission/Fuel/Energy/Environment/Aviation/Development/Sustainable,33,"[0, 1, 1, 2, 0, 3, 2, 1, 1, 3, 0, 2, 1, 0, 0, 3, 0, 0, 3, 5, 1, 4]"
Food/Power/Energy/Supply/Sustainable/Neutrality/Generation,22,"[1, 0, 0, 1, 2, 1, 2, 1, 0, 2, 0, 3, 1, 0, 0, 0, 0, 4, 1, 3, 0, 0]"
University/Energy/Sustainability/Sustainable/Fuel/Emission/Environment,23,"[0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 3, 6, 1]"
