Dominant_Topic_Label,Total,All Years
Chocolate/Oil/Bean/Production/Farmer/Fermentation/Fat,194,"[0, 0, 0, 0, 1, 1, 1, 3, 7, 3, 3, 8, 5, 3, 11, 15, 11, 13, 12, 15, 28, 20, 19, 15]"
Chocolate/Product/Food/Powder/Husk/Pod/Production,162,"[2, 0, 0, 0, 0, 0, 0, 2, 3, 4, 3, 3, 3, 7, 5, 10, 12, 10, 12, 17, 11, 26, 19, 13]"
Fat/Butter/Chocolate/Acid/Property/Oil/Fatty,142,"[1, 3, 2, 1, 0, 0, 1, 3, 0, 7, 1, 2, 5, 2, 6, 4, 3, 5, 13, 13, 18, 20, 20, 12]"
Plant/Extract/Disease/Control/Compound/Treatment/Extraction,149,"[1, 1, 1, 0, 0, 0, 1, 4, 1, 6, 4, 7, 3, 4, 4, 3, 6, 12, 15, 18, 15, 15, 15, 13]"
Tree/Plant/Soil/Farmer/Forest/Land/Productivity,177,"[0, 0, 0, 0, 2, 1, 4, 1, 2, 3, 7, 4, 10, 4, 7, 7, 8, 14, 14, 14, 19, 25, 19, 12]"
