Dominant_Topic_Label,Total,All Years
Animal/Litter/Broiler/Farm/Production/Air/Concentration,1890,"[14, 20, 21, 32, 34, 30, 41, 55, 73, 62, 63, 65, 63, 68, 81, 70, 94, 107, 90, 145, 144, 154, 142, 142, 80, 0]"
Animal/Salmonella/Flock/Farm/Bird/Broiler/Infection,911,"[15, 17, 15, 16, 16, 24, 19, 27, 30, 29, 37, 25, 25, 24, 25, 34, 41, 43, 52, 68, 67, 90, 63, 66, 42, 1]"
Diet/Broiler/Feed/Treatment/Fed/Bird/Animal,2761,"[33, 33, 30, 36, 50, 62, 58, 82, 109, 87, 103, 123, 117, 129, 98, 120, 119, 148, 141, 176, 184, 206, 195, 208, 114, 0]"
Group/Animal/Bird/Control/Cell/Broiler/Stress,1604,"[27, 45, 30, 44, 42, 37, 45, 60, 58, 63, 67, 78, 70, 65, 81, 57, 67, 83, 77, 84, 106, 95, 86, 85, 52, 0]"
Hen/Egg/Bird/Laying/Production/Age/Week,1341,"[27, 25, 26, 31, 33, 39, 46, 36, 56, 55, 51, 44, 47, 45, 61, 65, 64, 61, 71, 87, 90, 72, 83, 80, 46, 0]"
