Dominant_Topic_Label,Total,All Years
Animal/Emission/Seafood/Organic/Production/Sediment/Feed,244,"[4, 0, 1, 1, 5, 7, 6, 5, 6, 3, 4, 10, 7, 7, 7, 8, 11, 16, 9, 23, 21, 16, 26, 24, 17]"
Animal/Wind/Acid/Concentration/Water/Two/Co2,67,"[1, 0, 0, 1, 1, 0, 2, 4, 1, 3, 2, 1, 0, 3, 8, 1, 2, 4, 3, 5, 7, 3, 3, 6, 6]"
Emission/Co2/Environmental/Dairy/Wind/Production/Energy,65,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 5, 3, 2, 0, 5, 2, 4, 3, 4, 7, 9, 7, 7]"
Plant/Production/Agriculture/Emission/Environment/Land/Environmental,110,"[0, 1, 1, 0, 0, 1, 2, 1, 4, 1, 1, 6, 8, 4, 5, 3, 7, 6, 5, 12, 3, 9, 13, 10, 7]"
Soil/Organic/Plant/Land/Treatment/Productivity/Nitrogen,371,"[0, 2, 1, 0, 1, 2, 4, 4, 3, 1, 10, 12, 7, 16, 10, 17, 15, 18, 24, 24, 23, 48, 41, 50, 38]"
