Categorías,Total,Todos los años
Química/Biotecnología,6,"[1, 5, 0, 0, 0, 0]"
Química/Microestructural y nanotecnología,6,"[0, 0, 2, 4, 0, 0]"
Ingeniería eléctrica/Semiconductores,4,"[0, 0, 2, 2, 0, 0]"
Instrumentos/Tecnología médica,3,"[0, 0, 0, 0, 1, 2]"
Química/Química orgánica fina,1,"[0, 1, 0, 0, 0, 0]"
Instrumentos/Medición,1,"[0, 1, 0, 0, 0, 0]"
