Etiqueta de tema dominante,Total,Todos los años
Desarrollo/Recurso/Agua/Ciudad/Comunidad/Proyecto/Edificio,53,"[0, 0, 1, 0, 2, 1, 5, 2, 1, 0, 1, 2, 5, 3, 4, 2, 3, 2, 3, 1, 2, 3, 1, 5, 4]"
Bosque/Tierra/Agricultura/Suelo/Planta/Sombra/Especie,751,"[2, 1, 1, 3, 9, 8, 14, 10, 13, 4, 11, 5, 21, 20, 28, 21, 29, 41, 43, 60, 64, 89, 77, 104, 73]"
Planta/Suelo/Agua/Gestión/Especie/Enfermedad/Producción,950,"[0, 0, 0, 1, 1, 1, 1, 2, 3, 4, 2, 6, 2, 8, 12, 16, 21, 47, 57, 72, 87, 102, 129, 188, 188]"
Producto/Sostenibilidad/Comercio/Producción/Agricultor/Medioambiente/Cadena,312,"[1, 0, 0, 2, 1, 8, 5, 2, 1, 4, 4, 11, 6, 7, 14, 12, 16, 3, 13, 17, 33, 31, 36, 63, 22]"
Residuos/Energía/Producción/Producto/Alimentos/Combustible/Suelo,350,"[2, 3, 2, 6, 1, 5, 5, 7, 5, 6, 6, 8, 8, 10, 10, 16, 8, 10, 24, 28, 39, 40, 40, 37, 24]"
