Etiqueta de tema dominante,Total,Todos los años
Ácido/Planta/Temperatura/Combustible/Producción/Biomasa/Cáscara,35,"[0, 1, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1, 1, 2, 0, 2, 5, 2, 4, 1, 3, 5, 1, 1]"
Actividad/Sacarosa/Metabolismo/Azúcar/Sorbitol/Etapa/Enzima,40,"[1, 1, 0, 0, 1, 0, 2, 1, 0, 0, 3, 3, 2, 2, 0, 2, 0, 2, 3, 2, 3, 4, 3, 5]"
Adsorción/Activado/Energía/Superficie/Tinte/Agua/Naranja,42,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 4, 2, 3, 2, 4, 4, 2, 3, 3, 6, 2, 3]"
Emisión/Agua/Combustible/Ácido/Eliminación/Vegetal/Producción,51,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 2, 2, 1, 1, 2, 5, 2, 2, 4, 8, 7, 9]"
Residuos/Energía/Biomasa/Producción/Suelo/Orgánico/Combustible,62,"[0, 1, 0, 2, 0, 0, 1, 0, 2, 2, 0, 0, 2, 4, 4, 0, 3, 7, 2, 6, 5, 11, 3, 7]"
