Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,21,"[3, 5, 5, 5, 2, 1]"
Ingeniería eléctrica/Comunicación digital,5,"[0, 2, 2, 1, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,5,"[0, 2, 0, 2, 0, 1]"
Química/Ingeniería química,2,"[0, 0, 2, 0, 0, 0]"
Instrumentos/Tecnología médica,2,"[0, 0, 1, 1, 0, 0]"
Instrumentos/Control,1,"[0, 0, 0, 1, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,1,"[0, 1, 0, 0, 0, 0]"
